Uid,Did,Key,Time,UpdateTime,GPX
8278074507,2016481816,outdoor_run_class,1766327368,1766329320,https://awsde0-fusion.fds.api.xiaomi.com/watchprivacy/user-privacy-gpx-files/8278074507/20e8e97ad28d114d7f1710cbb5b3cfdb_1767547223/20251221outdoor_run_class_0.gpx?Expires=1775323412000&GalaxyAccessKeyId=AK7GLVK7GPCJW6HOWC&Signature=ACrgnmRryh+zQCa3tg+/j6PxD8Q=
8278074507,2016481816,outdoor_run_class,1765715581,1765717152,https://awsde0-fusion.fds.api.xiaomi.com/watchprivacy/user-privacy-gpx-files/8278074507/20e8e97ad28d114d7f1710cbb5b3cfdb_1767547223/20251214outdoor_run_class_0.gpx?Expires=1775323412000&GalaxyAccessKeyId=AK7GLVK7GPCJW6HOWC&Signature=sGR9DzZBljU0ylF7nU1DjZseIWs=
8278074507,895438322,outdoor_run_class,1760466477,1760467794,https://awsde0-fusion.fds.api.xiaomi.com/watchprivacy/user-privacy-gpx-files/8278074507/20e8e97ad28d114d7f1710cbb5b3cfdb_1767547223/20251015outdoor_run_class_0.gpx?Expires=1775323413000&GalaxyAccessKeyId=AK7GLVK7GPCJW6HOWC&Signature=TMvJVHizESHetuQ8K5thxV/fktw=
8278074507,895438322,outdoor_run_class,1758222553,1758229033,https://awsde0-fusion.fds.api.xiaomi.com/watchprivacy/user-privacy-gpx-files/8278074507/20e8e97ad28d114d7f1710cbb5b3cfdb_1767547223/20250919outdoor_run_class_0.gpx?Expires=1775323413000&GalaxyAccessKeyId=AK7GLVK7GPCJW6HOWC&Signature=4aoetzLuZvkq4N8v730tfhE6Exo=
8278074507,895438322,outdoor_run_class,1758042090,1758046225,https://awsde0-fusion.fds.api.xiaomi.com/watchprivacy/user-privacy-gpx-files/8278074507/20e8e97ad28d114d7f1710cbb5b3cfdb_1767547223/20250917outdoor_run_class_0.gpx?Expires=1775323413000&GalaxyAccessKeyId=AK7GLVK7GPCJW6HOWC&Signature=I/Gkff+oMcB3yFqeGF03V40xP/s=
8278074507,895438322,outdoor_run_class,1757841620,1757844056,https://awsde0-fusion.fds.api.xiaomi.com/watchprivacy/user-privacy-gpx-files/8278074507/20e8e97ad28d114d7f1710cbb5b3cfdb_1767547223/20250914outdoor_run_class_0.gpx?Expires=1775323413000&GalaxyAccessKeyId=AK7GLVK7GPCJW6HOWC&Signature=TxkiU0ppygm8f9wOebQGgmx1fAM=
8278074507,895438322,outdoor_run_class,1757613743,1757619984,https://awsde0-fusion.fds.api.xiaomi.com/watchprivacy/user-privacy-gpx-files/8278074507/20e8e97ad28d114d7f1710cbb5b3cfdb_1767547223/20250912outdoor_run_class_0.gpx?Expires=1775323413000&GalaxyAccessKeyId=AK7GLVK7GPCJW6HOWC&Signature=PmSKCN7nu1ziavjUuQ8iMRH4Ikk=
8278074507,895438322,outdoor_run_class,1757442848,1757445600,https://awsde0-fusion.fds.api.xiaomi.com/watchprivacy/user-privacy-gpx-files/8278074507/20e8e97ad28d114d7f1710cbb5b3cfdb_1767547223/20250910outdoor_run_class_0.gpx?Expires=1775323413000&GalaxyAccessKeyId=AK7GLVK7GPCJW6HOWC&Signature=P3CkI2n6E3CK3NEk+dawWDLWqUQ=
8278074507,895438322,outdoor_run_class,1757269218,1757270969,https://awsde0-fusion.fds.api.xiaomi.com/watchprivacy/user-privacy-gpx-files/8278074507/20e8e97ad28d114d7f1710cbb5b3cfdb_1767547223/20250908outdoor_run_class_0.gpx?Expires=1775323414000&GalaxyAccessKeyId=AK7GLVK7GPCJW6HOWC&Signature=ElKAcdJgj9Mzqdnq8H63z03TPEI=
8278074507,895438322,outdoor_run_class,1751397817,1751406332,https://awsde0-fusion.fds.api.xiaomi.com/watchprivacy/user-privacy-gpx-files/8278074507/20e8e97ad28d114d7f1710cbb5b3cfdb_1767547223/20250702outdoor_run_class_0.gpx?Expires=1775323414000&GalaxyAccessKeyId=AK7GLVK7GPCJW6HOWC&Signature=MC+pzr8tQncSy0b2dcLfOauz0jA=
8278074507,895438322,not_outdoor_run_class,1749993196,1750008481,https://awsde0-fusion.fds.api.xiaomi.com/watchprivacy/user-privacy-gpx-files/8278074507/20e8e97ad28d114d7f1710cbb5b3cfdb_1767547223/20250615not_outdoor_run_class_0.gpx?Expires=1775323414000&GalaxyAccessKeyId=AK7GLVK7GPCJW6HOWC&Signature=9NWnNkW9zZ0Yv2Tp7Hb22Ou6xcI=
8278074507,895438322,not_outdoor_run_class,1749532557,1749540618,https://awsde0-fusion.fds.api.xiaomi.com/watchprivacy/user-privacy-gpx-files/8278074507/20e8e97ad28d114d7f1710cbb5b3cfdb_1767547223/20250610not_outdoor_run_class_0.gpx?Expires=1775323414000&GalaxyAccessKeyId=AK7GLVK7GPCJW6HOWC&Signature=06VvqF+3+F9oCt13p2E7Yg92508=
8278074507,895438322,not_outdoor_run_class,1749489316,1749491153,https://awsde0-fusion.fds.api.xiaomi.com/watchprivacy/user-privacy-gpx-files/8278074507/20e8e97ad28d114d7f1710cbb5b3cfdb_1767547223/20250610not_outdoor_run_class_1.gpx?Expires=1775323414000&GalaxyAccessKeyId=AK7GLVK7GPCJW6HOWC&Signature=ps+1BvM/Gmh0FhlTlAhZkGCQkYA=
8278074507,895438322,outdoor_run_class,1748967167,1748968804,https://awsde0-fusion.fds.api.xiaomi.com/watchprivacy/user-privacy-gpx-files/8278074507/20e8e97ad28d114d7f1710cbb5b3cfdb_1767547223/20250604outdoor_run_class_0.gpx?Expires=1775323415000&GalaxyAccessKeyId=AK7GLVK7GPCJW6HOWC&Signature=/IDKdr2LpbLGUr0vVcEhnmdtpRI=
8278074507,895438322,outdoor_run_class,1748685386,1748713872,https://awsde0-fusion.fds.api.xiaomi.com/watchprivacy/user-privacy-gpx-files/8278074507/20e8e97ad28d114d7f1710cbb5b3cfdb_1767547223/20250531outdoor_run_class_0.gpx?Expires=1775323415000&GalaxyAccessKeyId=AK7GLVK7GPCJW6HOWC&Signature=5STl/SzS1Di93vkVqb2GIUbtUFU=
